decade,title ,budget,worldwide gross, budget recovered,domestic gross,domestic ,international gross,international ,year
2010's,The Smurfs 2,105,348,331,71,20.4,277,79.6,2013
2010's,The Maze Runner,34,348,1024,102,29.4,246,70.6,2014
1990's,Jurassic Park,63,1110,1762,404,36.4,706,63.6,1993
1990's,The Matrix,63,467,742,172,36.8,295,63.2,1999
2000's,300,65,456,702,211,46.2,245,53.8,2007
2000's,Sex and the City,65,419,644,153,36.4,266,63.6,2008
2010's,The Lorax,70,349,499,214,61.4,135,38.6,2012
2010's,Mary Poppins Returns,130,350,269,172,49.2,178,50.8,2018
1990's,101 Dalmatians,67,321,479,136,42.5,185,57.5,1996
2010's,Peter Rabbit,50,351,703,115,32.8,236,67.2,2018
2010's,Now You See Me,75,352,469,118,33.5,234,66.5,2013
2010's,The Angry Birds Movie,73,352,483,108,30.5,245,69.5,2016
2000's,Alvin and the Chipmunks,70,365,522,217,59.5,148,40.5,2007
2000's,Hitch,70,372,531,179,48.3,192,51.7,2005
2000's,Inglourious Basterds,70,321,459,121,37.5,201,62.5,2009
2010's,Dumbo,170,353,208,115,32.5,239,67.5,2019
1990's,Ransom,70,309,442,136,44.1,173,55.9,1996
1990's,Saving Private Ryan,70,482,689,217,45,265,55,1998
1990's,The Hunchback of Notre Dame,70,325,465,100,30.8,225,69.2,1996
2010's,X-Men: First Class,160,353,220,146,41.5,206,58.5,2011
2000's,What Women Want,70,374,534,183,48.9,191,51.1,2000
2000's,Signs,72,408,567,228,55.8,180,44.2,2002
2010's,Murder on the Orient Express,55,353,641,103,29.2,250,70.8,2017
1990's,The Lost World: Jurassic Park,73,619,847,229,37,390,63,1997
2010's,The Great Gatsby,190,354,186,145,41,209,59,2013
2010's,The Legend of Tarzan,180,357,198,127,35.5,230,64.5,2016
2000's,Alvin & the Chipmunks: The Squeakquel,75,443,591,220,49.6,224,50.4,2009
1990's,Independence Day,75,817,1090,306,37.5,511,62.5,1996
2010's,Hotel Transylvania,85,358,422,148,41.4,210,58.6,2012
2000's,Madagascar,75,542,723,194,35.7,348,64.3,2005
2010's,Noah,125,359,287,101,28.2,258,71.8,2014
2010's,The Karate Kid,40,359,898,177,49.2,183,50.8,2010
2000's,Shark Tale,75,375,499,161,42.9,214,57.1,2004
2010's,The Hangover Part III,103,362,351,112,31,250,69,2013
2010's,Night at the Museum: Secret of the Tomb,127,363,286,114,31.3,249,68.7,2014
1990's,The Rock,75,335,447,134,40,201,60,1996
2010's,Shazam!,100,366,366,140,38.4,226,61.6,2019
2010's,The Nun,22,366,1662,117,32.1,248,67.9,2018
2000's,The Simpsons Movie,75,536,715,183,34.1,353,65.9,2007
2000's,Wanted,75,342,457,135,39.3,208,60.7,2008
2010's,Gone Girl,61,369,605,168,45.4,202,54.6,2014
2010's,Edge of Tomorrow,178,371,208,100,27,270,73,2014
2010's,Captain America: The First Avenger,140,371,265,177,47.7,194,52.3,2011
2010's,Fifty Shades Freed,55,372,676,100,27,272,73,2018
